nome_imagem,minimo,maximo,media,std,var,mediana,assimetria,curtose,amplitude_ao_quadrado,entropia_completa,entropia_dos_bins,energia_media,rms,desvio_absoluto_medio,p925,p850,p150,p75,amplitude_interquartil,uniformidade,media_robusta,rotulo
75.jpg,0.0,250.0,62.37863308566433,75.11348253905908,5642.035259145533,28.0,0.8043542499876718,-0.8496938684920741,62500.0,5.190677766879879,2.294301104893652,9533.129124781468,97.63774436549355,66.01376911965295,198.0,166.0,0.0,0.0,128.0,0.30270073985032125,46.313605338995906,0
76.jpg,0.0,254.0,71.1326486013986,82.00644273723243,6725.056650414982,28.0,0.6265210186185015,-1.1990813487393803,64516.0,5.226301135983355,2.3320722868344177,11784.910347465035,108.5583269374811,74.30936954626449,210.0,184.0,0.0,0.0,148.0,0.2989238519074893,55.189168735242475,0
78.jpg,0.0,255.0,68.48994755244755,81.12376764500233,6581.065676920327,30.0,0.7253495038286253,-1.0368048321188341,65025.0,5.236993883579571,2.3567342275916,11271.938592657343,106.16938632514244,72.28910526550044,209.0,181.0,0.0,0.0,144.0,0.29409012959355446,51.85883280757098,0
79.jpg,0.0,255.0,67.35713505244755,78.91460846236012,6227.5154287676,29.0,0.7085480207690963,-1.0326307222550621,65025.0,5.240360946805275,2.345593896238132,10764.499071241258,103.75210393645644,70.2598207205034,204.0,177.0,0.0,0.0,139.0,0.29469980063301543,51.37702882751938,0
8.jpg,0.0,255.0,70.11573972902097,81.51095912088377,6644.036456806385,30.0,0.6574319909047482,-1.1534313646117194,65025.0,5.195425228065997,2.3485564307137667,11560.253414554196,107.5186189204186,73.42188188880338,210.0,184.0,0.0,0.0,145.0,0.2921955579300371,54.18989257073687,0
80.jpg,0.0,248.0,52.81326486013986,60.27560524088807,3633.148587155373,23.0,0.5942079551011575,-1.2483011059815023,61504.0,4.952762874993768,2.036417069429721,6422.389532342658,80.13981240521254,54.83341021054857,154.0,137.0,0.0,0.0,109.0,0.3322881235692301,41.58208233908237,0
COVID-1.png,0.0,255.0,145.89684679142292,51.81663222717359,2684.963375366165,154.0,-1.1357669361301987,1.1000304290657876,65025.0,7.180135668429291,2.464437484124529,23970.853279046096,154.82523463262083,39.087445064003006,207.0,200.0,100.0,60.0,61.0,0.20356888261792752,153.3412605677366,1
COVID-10.png,0.0,227.0,141.35546582252994,40.623291001720276,1650.2517718104475,136.0,0.015495119058601315,-0.39808859633101257,51529.0,7.248360478326019,2.322294247614468,21631.61948971488,147.07691691667623,33.726583340236445,205.0,192.0,100.0,88.0,63.0,0.2195466377692722,140.8917909411536,1
COVID-11.png,38.0,235.0,149.83344705316495,46.003268744610814,2116.3007351888864,153.0,-0.1311351714758953,-1.1264743456195068,38809.0,7.367756735530753,2.4579606002968055,24566.362591022473,156.73660258861833,39.632663050740184,214.0,203.0,93.0,79.0,76.0,0.19030440425383927,150.70511013459358,1
COVID-12.png,0.0,255.0,150.6977998008971,50.6700875669564,2567.457774043029,150.0,-0.30572349574167174,0.44887531481305354,65025.0,7.517949392918642,2.5845384525382396,25277.284638874287,158.9883160451556,38.140062403433056,230.0,204.0,108.0,83.0,56.0,0.1967618267681401,151.8928596366277,1
COVID-13.png,0.0,255.0,120.62544043131508,61.22023319794935,3747.9169528112993,122.0,-0.1772255324851843,-0.8524227154090052,65025.0,7.64297740586043,2.836839182795986,18298.413832060043,135.2716298122413,51.4707837978252,207.0,194.0,54.0,24.0,96.0,0.14610031281348296,122.63513833386708,1
COVID-14.png,63.0,244.0,124.46908871265423,41.92688572728375,1757.8637467887095,112.0,0.6050010768849233,-0.8627149645685637,32761.0,7.0801841052205114,2.1942589443582943,17250.417791747295,131.3408458620063,35.52900359175874,197.0,185.0,82.0,75.0,65.0,0.23874371667251165,121.30793839025937,1
COVID-15.png,2.0,251.0,158.4232950414425,48.93288260678797,2394.427000209693,164.0,-0.9996084494595749,1.3641438170840496,62001.0,7.420777613426871,2.4990274102902585,27492.367411997628,165.8082248020213,37.231411197499426,218.0,206.0,118.0,92.0,62.0,0.20449273399780146,162.97728850265153,1
COVID-16.png,0.0,255.0,129.67687162335992,53.161510201505706,2826.1461669047953,135.0,-0.44846382872613366,-0.468482125506533,65025.0,7.539876400079478,2.698213002799618,19642.237200926163,140.1507659662485,43.80904752845127,198.0,187.0,72.0,42.0,76.0,0.16881475393415485,133.10104186871345,1
COVID-17.png,56.0,253.0,123.76983478932003,52.0604742782343,2710.2929820746954,102.0,0.9465980525132393,-0.44747070657485377,38809.0,7.105414918471594,2.215589081151568,18029.26498585027,134.27309851884058,43.441203775020625,222.0,202.0,78.0,72.0,71.0,0.26735518340338177,116.9701420493725,1
COVID-19.png,0.0,246.0,117.14655317054618,76.0291220426685,5780.427398578981,126.0,-0.20657333299408728,-1.327626425496406,60516.0,7.358825948928698,2.8139967788700404,19503.742318318586,139.65579944391348,66.07376393042048,218.0,205.0,9.0,6.0,143.0,0.1557614127371191,117.0980435140023,1
COVID-2.png,32.0,238.0,150.6405297479894,48.86769801070843,2388.0519088657966,153.0,-0.048478148333162524,-1.3188351314763556,42436.0,7.364341271177826,2.461293751184353,25080.621111620676,158.36862413881317,43.18758198243748,218.0,211.0,92.0,81.0,89.0,0.19040020485225545,151.26196344502907,1
COVID-20.png,30.0,255.0,135.49243297054844,41.170109288210504,1694.977898803197,129.0,0.2630480795257416,-0.6331405544084361,50625.0,7.319924160094558,2.3879574220583377,20053.177291081756,141.60924154546467,34.74159268107131,197.0,183.0,94.0,82.0,65.0,0.21645458471637888,134.22992970000695,1
COVID-21.png,0.0,254.0,151.38281450990482,75.12803823484678,5644.2221290166,176.0,-0.7086048752110464,-0.5699206803445751,64516.0,7.512639298916505,2.8357686050031585,28560.978657956846,168.9999368578487,62.314545379458835,246.0,227.0,56.0,2.0,99.0,0.15285498605864073,158.09110420470225,1
COVID-22.png,0.0,228.0,102.07846668381785,71.54705680547993,5118.981337526571,108.0,-0.04902813824265861,-1.3414223088287724,51984.0,7.25618628280043,2.7337975329919484,15538.994698045883,124.65550408243466,62.47147809673799,205.0,186.0,6.0,5.0,141.0,0.16306315595702042,96.34117023391426,1
COVID-23.png,24.0,252.0,120.34528696547018,37.90506591116505,1436.7940217297669,116.0,-0.017427257168632998,-0.12717416150376826,51984.0,7.169001693689005,2.275720419408166,15919.782116531134,126.17361894045496,30.052390189703882,177.0,163.0,86.0,69.0,51.0,0.2445184267051017,120.41194320712695,1
COVID-24.png,0.0,254.0,148.57567588729432,76.7657724344677,5892.983817460482,172.0,-0.7091182034915715,-0.6479676533503502,64516.0,7.480409841272806,2.8208511947702717,27967.715282826815,167.23550843892818,63.78881079991895,243.0,224.0,39.0,0.0,103.0,0.15372455531229645,154.60247146443282,1
COVID-25.png,0.0,245.0,128.781098645429,55.672506425779,3099.427971728404,138.0,-0.4898928445475658,-0.0752293510355333,60025.0,7.517361945002683,2.685062732189585,19683.999340052123,140.2996769064424,43.28208964349575,210.0,185.0,70.0,30.0,63.0,0.18808514296007106,131.97500244116785,1
COVID-26.png,44.0,187.0,111.7489513540117,29.454924777395224,867.592593642011,112.0,0.07226539266033392,-0.9427835854913043,20449.0,6.833040825712965,1.964511674234218,13355.420722363284,115.56565546200689,25.151066291833192,155.0,144.0,78.0,69.0,48.0,0.28075082059273193,110.96306590337122,1
COVID-27.png,0.0,241.0,134.730730081319,58.028332158405966,3367.287333086292,146.0,-0.6752464099762411,-0.3090749007385054,58081.0,7.594402591441383,2.6631360494286196,21519.65696133153,146.69579735401942,47.13961510913908,208.0,195.0,72.0,24.0,80.0,0.17003160107649004,140.14898476450435,1
COVID-28.png,0.0,255.0,142.61572018210086,71.38417484267158,5095.700417969107,130.0,0.1679383395274804,-0.8900244870911531,65025.0,7.308749006962538,2.8165643742535966,25434.9440610284,159.48336609511475,59.18968570272193,254.0,253.0,71.0,46.0,110.0,0.1565976281333038,146.53843669250645,1
COVID-29.png,0.0,255.0,165.81687005738192,41.61106379236562,1731.480629932321,180.0,-1.0013085023159907,0.7805141258676804,65025.0,7.064727350669491,2.2152187430374823,29226.715025559,170.95822596634244,34.3656404259976,210.0,204.0,116.0,100.0,62.0,0.2506594110934238,170.1220837105648,1
COVID-3.png,0.0,255.0,140.59861746512902,50.20067945662855,2520.1082179071677,143.0,-0.6201926713273744,0.49669584501277475,65025.0,7.456458489438725,2.5794846354176006,22288.07945101285,149.29192694520643,37.83443477161044,209.0,195.0,92.0,63.0,59.0,0.2019742488829739,143.85573174991268,1
COVID-30.png,0.0,255.0,150.90924038880996,79.7133440446709,6354.217218784071,175.0,-0.658746849336524,-0.7310225854192876,65025.0,7.381829279726791,2.826983001223348,29127.816053511706,170.66873191511004,66.7813838225244,247.0,236.0,39.0,0.0,110.0,0.15159586048533213,157.72031673207672,1
COVID-31.png,0.0,226.0,145.16928222279392,44.07568630469067,1942.6661232294966,149.0,-0.28839889686149484,-0.36075549839244436,51076.0,7.292262346683018,2.3921917030262563,23016.78662431069,151.71284264791393,37.07440093664926,209.0,197.0,96.0,84.0,70.0,0.20055702761173244,146.20451505016723,1
COVID-32.png,0.0,255.0,124.47211999865773,58.48982566062017,3421.059705809742,132.0,-0.13216737493804198,-0.9458385961455713,65025.0,7.749349795008712,2.8292262585589016,18914.36836276999,137.5295181507228,49.99993718066155,206.0,187.0,55.0,38.0,96.0,0.15084546863246437,125.20422437094213,1
COVID-33.png,2.0,237.0,126.80513640787015,62.54552081337573,3911.942173816417,131.0,-0.30674676767991077,-0.9173469938898258,55225.0,7.529539346240459,2.8039884507795785,19991.484793234977,141.39124722992926,51.798668173397076,213.0,198.0,30.0,20.0,90.0,0.15290127823303135,128.15926632915594,1
COVID-34.png,0.0,255.0,159.79845863021666,51.88496251639137,2692.0493353273373,156.0,-0.13078884487882406,-0.14911354455083714,65025.0,7.568043834858309,2.625945869711697,28227.596715920405,168.01070417065813,41.97708462372718,243.0,220.0,109.0,91.0,74.0,0.17851062453666028,160.13373868659963,1
COVID-35.png,37.0,255.0,137.17868927640632,40.87109380284492,1670.4463086409482,141.0,-0.13534174963147047,-0.8828130384706023,47524.0,7.216466886559849,2.4073137394125985,20488.43910023378,143.137832525974,34.759555532372325,193.0,180.0,89.0,76.0,65.0,0.2072088609432576,137.77537412125008,1
COVID-36.png,0.0,255.0,153.96219281663517,81.38952916760077,6624.255458123736,179.0,-0.6254704281905126,-0.8385856535063816,65025.0,7.460204124830371,2.817351295812629,30328.612275030482,174.15111907487267,69.48240531938582,250.0,241.0,50.0,1.0,124.0,0.15605038699892826,160.45199053452114,1
COVID-37.png,0.0,233.0,90.2944374224002,43.76198224060299,1915.1110896268515,98.0,-0.6560103414603484,-0.42798421585825563,54289.0,6.902182390040824,2.2767301005108878,10068.196519054596,100.34040322350013,35.31962709479501,145.0,136.0,39.0,0.0,59.0,0.22218551441724804,94.32036206633255,1
COVID-38.png,48.0,252.0,135.673549512869,44.50790149155127,1980.953295181632,142.0,-0.10574487841728016,-0.9979093515297639,41616.0,7.345524110918591,2.473611309532232,20388.265332602543,142.78748310899854,37.92027632272235,200.0,184.0,80.0,68.0,73.0,0.19475158641772855,135.95531245233838,1
COVID-39.png,0.0,255.0,150.98540284784286,69.66061216772343,4852.600887581977,165.0,-0.8090333447602375,-0.11337903489465706,65025.0,7.5031916500981675,2.7874519671590754,27649.192760707374,166.2804641583231,54.6113206926676,240.0,217.0,72.0,2.0,81.0,0.15927914179668679,157.9572273031452,1
COVID-4.png,1.0,255.0,116.71467880672476,57.71977282621545,3331.572175109919,121.0,-0.18463325123440746,-0.9285219837943952,64516.0,7.655807110626889,2.7938763366137884,16953.888424066845,130.2070982092253,48.704687203682425,197.0,182.0,49.0,18.0,89.0,0.1512742780615248,118.45506023427525,1
